Dec 14 04:39:51.366 INFO configured Copa, delta_mode: Auto, default_delta: 0.25, init_cwnd: 0, ipc: netlink
Dec 14 04:39:51.366 INFO starting CCP, ipc: netlink, algorithm: copa
Dec 14 04:40:08.541 DEBG creating new flow, dst_port: 20756, dst_ip: 16793700, src_port: 44775, src_ip: 67125348, mss: 1448, init_cwnd: 14480, sid: 1
Dec 14 04:40:08.542 INFO starting copa flow, sock_id: 1
Dec 14 04:40:08.608 DEBG got ack, report_interval: 3018487959440, mode: const, velocity: 1, base_rtt: 24200, min_rtt: 24200, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 10, acked(pkts): 1
Dec 14 04:40:09.324 DEBG got ack, report_interval: 13819, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 27866, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 14
Dec 14 04:40:09.336 DEBG got ack, report_interval: 13458, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 27564, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 14
Dec 14 04:40:09.349 DEBG got ack, report_interval: 12894, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 27682, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 26, acked(pkts): 14
Dec 14 04:40:09.363 DEBG got ack, report_interval: 13791, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 27458, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 24, acked(pkts): 12
Dec 14 04:40:09.376 DEBG got ack, report_interval: 12633, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 24492, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 26, acked(pkts): 14
Dec 14 04:40:09.389 DEBG got ack, report_interval: 13172, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 23657, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 12
Dec 14 04:40:09.403 DEBG got ack, report_interval: 13814, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 23339, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 30, acked(pkts): 12
Dec 14 04:40:09.416 DEBG got ack, report_interval: 13172, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 24615, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 14
Dec 14 04:40:09.428 DEBG got ack, report_interval: 12652, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25715, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 30, acked(pkts): 12
Dec 14 04:40:09.441 DEBG got ack, report_interval: 12791, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25855, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 14
Dec 14 04:40:09.454 DEBG got ack, report_interval: 12874, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 29078, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 26, acked(pkts): 12
Dec 14 04:40:09.469 DEBG got ack, report_interval: 14892, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25662, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 15
Dec 14 04:40:09.482 DEBG got ack, report_interval: 12847, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25351, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 30, acked(pkts): 13
Dec 14 04:40:09.494 DEBG got ack, report_interval: 12632, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 23988, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 32, acked(pkts): 12
Dec 14 04:40:09.508 DEBG got ack, report_interval: 13882, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 23141, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 34, acked(pkts): 14
Dec 14 04:40:09.523 DEBG got ack, report_interval: 14200, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 26777, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 32, acked(pkts): 14
Dec 14 04:40:09.535 DEBG got ack, report_interval: 12772, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 32, acked(pkts): 0
Dec 14 04:40:09.548 DEBG got ack, report_interval: 12880, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 28099, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 26
Dec 14 04:40:09.561 DEBG got ack, report_interval: 13013, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 0
Dec 14 04:40:09.575 DEBG got ack, report_interval: 14244, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 29833, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 25, acked(pkts): 26
Dec 14 04:40:09.588 DEBG got ack, report_interval: 12826, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 25, acked(pkts): 0
Dec 14 04:40:09.601 DEBG got ack, report_interval: 12886, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25929, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 26
Dec 14 04:40:09.615 DEBG got ack, report_interval: 13976, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 23475, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 14
Dec 14 04:40:09.629 DEBG got ack, report_interval: 14102, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 23440, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 33, acked(pkts): 14
Dec 14 04:40:09.642 DEBG got ack, report_interval: 13297, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 33, acked(pkts): 0
Dec 14 04:40:09.655 DEBG got ack, report_interval: 12682, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25158, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 36, acked(pkts): 26
Dec 14 04:40:09.668 DEBG got ack, report_interval: 12930, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 36, acked(pkts): 0
Dec 14 04:40:09.681 DEBG got ack, report_interval: 12734, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 28475, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 33, acked(pkts): 27
Dec 14 04:40:09.695 DEBG got ack, report_interval: 14248, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 29185, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 14
Dec 14 04:40:09.708 DEBG got ack, report_interval: 12583, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 0
Dec 14 04:40:09.720 DEBG got ack, report_interval: 12611, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 31451, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 25
Dec 14 04:40:09.733 DEBG got ack, report_interval: 13027, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 0
Dec 14 04:40:09.747 DEBG got ack, report_interval: 14141, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 30402, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 25, acked(pkts): 27
Dec 14 04:40:09.760 DEBG got ack, report_interval: 12926, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 25, acked(pkts): 0
Dec 14 04:40:09.773 DEBG got ack, report_interval: 12911, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25752, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 26
Dec 14 04:40:09.786 DEBG got ack, report_interval: 12759, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 0
Dec 14 04:40:09.800 DEBG got ack, report_interval: 13885, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 22253, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 32, acked(pkts): 24
Dec 14 04:40:09.813 DEBG got ack, report_interval: 13151, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 32, acked(pkts): 0
Dec 14 04:40:09.827 DEBG got ack, report_interval: 14105, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25542, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 28
Dec 14 04:40:09.840 DEBG got ack, report_interval: 13018, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 0
Dec 14 04:40:09.853 DEBG got ack, report_interval: 12411, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25902, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 25, acked(pkts): 24
Dec 14 04:40:09.867 DEBG got ack, report_interval: 13985, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 25, acked(pkts): 0
Dec 14 04:40:09.880 DEBG got ack, report_interval: 13120, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25967, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 28
Dec 14 04:40:09.895 DEBG got ack, report_interval: 15703, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 22165, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 12
Dec 14 04:40:09.910 DEBG got ack, report_interval: 14557, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 23045, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 33, acked(pkts): 16
Dec 14 04:40:09.922 DEBG got ack, report_interval: 12367, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 33, acked(pkts): 0
Dec 14 04:40:09.935 DEBG got ack, report_interval: 12709, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 25460, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 30, acked(pkts): 24
Dec 14 04:40:09.948 DEBG got ack, report_interval: 12869, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 30, acked(pkts): 0
Dec 14 04:40:09.964 DEBG got ack, report_interval: 16000, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 28676, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 26, acked(pkts): 28
Dec 14 04:40:09.977 DEBG got ack, report_interval: 12726, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 26, acked(pkts): 0
Dec 14 04:40:09.990 DEBG got ack, report_interval: 13119, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 28097, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 22, acked(pkts): 28
Dec 14 04:40:10.004 DEBG got ack, report_interval: 14030, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 22780, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 25, acked(pkts): 14
Dec 14 04:40:10.020 DEBG got ack, report_interval: 16170, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 22709, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 27, acked(pkts): 14
Dec 14 04:40:10.033 DEBG got ack, report_interval: 12829, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 27, acked(pkts): 0
Dec 14 04:40:10.046 DEBG got ack, report_interval: 12990, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 23038, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 30, acked(pkts): 24
Dec 14 04:40:10.058 DEBG got ack, report_interval: 12332, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 30, acked(pkts): 0
Dec 14 04:40:10.071 DEBG got ack, report_interval: 12765, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 23452, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 34, acked(pkts): 26
Dec 14 04:40:10.086 DEBG got ack, report_interval: 15079, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 25050, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 35, acked(pkts): 15
Dec 14 04:40:10.099 DEBG got ack, report_interval: 12969, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 35, acked(pkts): 0
Dec 14 04:40:10.112 DEBG got ack, report_interval: 12783, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 28024, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 33, acked(pkts): 26
Dec 14 04:40:10.124 DEBG got ack, report_interval: 12742, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 33, acked(pkts): 0
Dec 14 04:40:10.137 DEBG got ack, report_interval: 12854, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 30707, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 26
Dec 14 04:40:10.150 DEBG got ack, report_interval: 12819, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 0
Dec 14 04:40:10.163 DEBG got ack, report_interval: 12628, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 30158, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 26, acked(pkts): 26
Dec 14 04:40:10.177 DEBG got ack, report_interval: 14371, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 27069, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 24, acked(pkts): 14
Dec 14 04:40:10.191 DEBG got ack, report_interval: 14004, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 24, acked(pkts): 0
Dec 14 04:40:10.205 DEBG got ack, report_interval: 14156, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 23337, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 28
Dec 14 04:40:10.218 DEBG got ack, report_interval: 12654, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 0
Dec 14 04:40:10.230 DEBG got ack, report_interval: 12336, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 23591, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 24
Dec 14 04:40:10.244 DEBG got ack, report_interval: 13634, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 0
Dec 14 04:40:10.259 DEBG got ack, report_interval: 14635, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 24815, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 35, acked(pkts): 26
Dec 14 04:40:10.272 DEBG got ack, report_interval: 13106, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 35, acked(pkts): 0
Dec 14 04:40:10.286 DEBG got ack, report_interval: 13918, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 25908, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 28
Dec 14 04:40:10.299 DEBG got ack, report_interval: 13089, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 0
Dec 14 04:40:10.312 DEBG got ack, report_interval: 12921, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 29739, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 26
Dec 14 04:40:10.324 DEBG got ack, report_interval: 12918, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 0
Dec 14 04:40:10.337 DEBG got ack, report_interval: 12253, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 30599, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 25, acked(pkts): 26
Dec 14 04:40:10.350 DEBG got ack, report_interval: 12945, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 25, acked(pkts): 0
Dec 14 04:40:10.362 DEBG got ack, report_interval: 12660, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 23415, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 25
Dec 14 04:40:10.375 DEBG got ack, report_interval: 12696, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 0
Dec 14 04:40:10.388 DEBG got ack, report_interval: 12801, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 23038, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 32, acked(pkts): 24
Dec 14 04:40:10.401 DEBG got ack, report_interval: 12625, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 32, acked(pkts): 0
Dec 14 04:40:10.414 DEBG got ack, report_interval: 13766, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 23164, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 35, acked(pkts): 26
Dec 14 04:40:10.429 DEBG got ack, report_interval: 14338, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 24516, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 37, acked(pkts): 16
Dec 14 04:40:10.442 DEBG got ack, report_interval: 12958, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 37, acked(pkts): 0
Dec 14 04:40:10.454 DEBG got ack, report_interval: 12830, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 28070, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 34, acked(pkts): 26
Dec 14 04:40:10.469 DEBG got ack, report_interval: 14184, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 34, acked(pkts): 0
Dec 14 04:40:10.483 DEBG got ack, report_interval: 14103, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 30536, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 28
Dec 14 04:40:10.495 DEBG got ack, report_interval: 12836, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 0
Dec 14 04:40:10.509 DEBG got ack, report_interval: 13694, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 30524, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 27, acked(pkts): 26
Dec 14 04:40:10.523 DEBG got ack, report_interval: 13984, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 27, acked(pkts): 0
Dec 14 04:40:10.536 DEBG got ack, report_interval: 12706, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 27694, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 24, acked(pkts): 26
Dec 14 04:40:10.549 DEBG got ack, report_interval: 13360, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 24, acked(pkts): 0
Dec 14 04:40:10.561 DEBG got ack, report_interval: 12222, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 26101, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 26
Dec 14 04:40:10.576 DEBG got ack, report_interval: 14189, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 0
Dec 14 04:40:10.589 DEBG got ack, report_interval: 13208, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 22813, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 26
Dec 14 04:40:10.601 DEBG got ack, report_interval: 12384, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 0
Dec 14 04:40:10.616 DEBG got ack, report_interval: 14625, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 24644, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 35, acked(pkts): 26
Dec 14 04:40:10.629 DEBG got ack, report_interval: 12956, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 35, acked(pkts): 0
Dec 14 04:40:10.642 DEBG got ack, report_interval: 12958, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 28229, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 32, acked(pkts): 27
Dec 14 04:40:10.656 DEBG got ack, report_interval: 14179, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 32, acked(pkts): 0
Dec 14 04:40:10.669 DEBG got ack, report_interval: 13105, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 28264, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 26
Dec 14 04:40:10.683 DEBG got ack, report_interval: 14153, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 28, acked(pkts): 0
Dec 14 04:40:10.696 DEBG got ack, report_interval: 13055, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 27230, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 24, acked(pkts): 29
Dec 14 04:40:10.710 DEBG got ack, report_interval: 14134, mode: const, velocity: 1, base_rtt: 22165, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 24, acked(pkts): 0
